,Unnamed: 0,participant,block,trial,direction,start_pos,start_pos_deg,t_start,t_end,stop_pos,stop_pos_deg,pos_pressed,pos_pressed_deg,error,error_deg,rt
100,100,P3,8,7,2,450.0,12.60412912808349,0.0,978.4256855010026,-126.0,3.5291561558633773,138.0,3.8652662659456034,-12.0,-0.3361101100822264,0.0114431280089775
102,102,P3,8,1,2,450.0,12.60412912808349,989.4082057220004,989.758186963998,126.0,-3.5291561558633773,50.0,1.4004587920092766,-176.0,-4.929614947872653,0.2769700839999132
105,105,P3,8,3,2,450.0,12.60412912808349,1005.8916854359996,1006.0082381850008,42.0,-1.1763853852877924,78.0,2.1847157155344714,-120.0,-3.361101100822264,-0.1068645079940324
106,106,P3,8,5,2,450.0,12.60412912808349,0.0,1011.3918708990022,-42.0,1.1763853852877924,97.0,2.7168900564979968,-55.0,-1.5405046712102042,0.1097638870051014
108,108,P3,8,4,2,450.0,12.60412912808349,1022.0920085100006,1022.0754683620034,-0.0,0.0,86.0,2.408789122255956,-86.0,-2.408789122255956,0.1769477620036923
110,110,P3,8,2,2,450.0,12.60412912808349,1032.675445945999,1032.9089314000012,84.0,-2.3527707705755847,18.0,0.5041651651233395,-102.0,-2.856935935698924,-0.3064497199957259
114,114,P3,9,2,2,450.0,12.60412912808349,1085.2927005169986,1085.5263611170012,84.0,-2.3527707705755847,36.0,1.008330330246679,-120.0,-3.361101100822264,0.2270106850046431
115,115,P3,9,4,2,450.0,12.60412912808349,1090.7097136000011,1090.6928999099982,-0.0,0.0,103.0,2.8849451115391096,-103.0,-2.8849451115391096,0.0936769649997586
116,116,P3,9,5,2,450.0,12.60412912808349,0.0,1095.893264864004,-42.0,1.1763853852877924,124.0,3.473137804183006,-82.0,-2.2967524188952138,-0.1401312709931517
118,118,P3,9,3,2,450.0,12.60412912808349,1107.059886051,1107.1764570209998,42.0,-1.1763853852877924,65.0,1.8205964296120596,-107.0,-2.996981814899852,0.1100043620026554
120,120,P3,9,7,2,450.0,12.60412912808349,0.0,1117.326994285002,-126.0,3.5291561558633773,136.0,3.809247914265233,-10.0,-0.2800917584018553,-0.1233843539957888
122,122,P3,9,1,2,450.0,12.60412912808349,1128.293759002001,1128.643588592,126.0,-3.5291561558633773,19.0,0.532174340963525,-145.0,-4.061330496826902,0.0933971949998522
125,125,P3,9,6,2,450.0,12.60412912808349,0.0,1144.393708522999,-84.0,2.3527707705755847,124.0,3.473137804183006,-40.0,-1.1203670336074214,0.3102501710018259
126,126,P3,10,7,2,450.0,12.60412912808349,0.0,1182.3619275770034,-126.0,3.5291561558633773,130.0,3.641192859224119,-4.0,-0.1120367033607421,-0.2395621319956262
127,127,P3,10,6,2,450.0,12.60412912808349,0.0,1187.7785179010025,-84.0,2.3527707705755847,100.0,2.800917584018553,-16.0,-0.4481468134429685,0.160099936008919
128,128,P3,10,5,2,450.0,12.60412912808349,0.0,1192.9110480029997,-42.0,1.1763853852877924,87.0,2.436798298096141,-45.0,-1.2604129128083488,0.1431494409989682
130,130,P3,10,1,2,450.0,12.60412912808349,1203.4117237669998,1203.761300201004,126.0,-3.5291561558633773,-25.0,-0.7002293960046383,-101.0,-2.828926759858738,-0.1395169039897155
136,136,P3,10,4,2,450.0,12.60412912808349,1235.7951946219982,1235.7785699660017,-0.0,0.0,89.0,2.492816649776512,-89.0,-2.492816649776512,0.0598976540059084
137,137,P3,10,3,2,450.0,12.60412912808349,1241.112008611999,1241.2287682649985,42.0,-1.1763853852877924,69.0,1.9326331329728017,-111.0,-3.1090185182605943,0.0259609810018446
139,139,P3,10,2,2,450.0,12.60412912808349,1251.528694763998,1251.7621987599996,84.0,-2.3527707705755847,15.0,0.420137637602783,-99.0,-2.772908408178368,0.0772108420060249
140,140,P3,11,4,2,450.0,12.60412912808349,1289.480530863002,1289.4634723889976,-0.0,0.0,21.0,0.5881926926438962,-21.0,-0.5881926926438962,0.243797793998965
141,141,P3,11,1,2,450.0,12.60412912808349,1294.6292972009978,1294.9793544749991,126.0,-3.5291561558633773,-3.0,-0.0840275275205566,-123.0,-3.4451286283428204,0.026823455998965
146,146,P3,11,6,2,450.0,12.60412912808349,0.0,1321.1967608480045,-84.0,2.3527707705755847,129.0,3.613183683383933,-45.0,-1.2604129128083488,0.1770930430066073
147,147,P3,11,2,2,450.0,12.60412912808349,1326.413178986004,1326.6463938560046,84.0,-2.3527707705755847,31.0,0.8682844510457515,-115.0,-3.221055221621336,-0.0734942499911994
150,150,P3,11,5,2,450.0,12.60412912808349,0.0,1342.496762597999,-42.0,1.1763853852877924,116.0,3.249064397461521,-74.0,-2.072679012173729,-0.0573148319963365
151,151,P3,11,3,2,450.0,12.60412912808349,1347.9469175589984,1348.0635577430005,42.0,-1.1763853852877924,24.0,0.6722202201644528,-66.0,-1.8486056054522453,-0.0062442759954137
152,152,P3,11,7,2,450.0,12.60412912808349,0.0,1353.1136331960006,-126.0,3.5291561558633773,148.0,4.145358024347458,-22.0,-0.6162018684840816,0.17683520000719
154,154,P3,12,5,2,450.0,12.60412912808349,0.0,1396.4152544690005,-42.0,1.1763853852877924,92.0,2.576844177297069,-50.0,-1.4004587920092766,0.1610891270029242
155,155,P3,12,7,2,450.0,12.60412912808349,0.0,1401.3144372710012,-126.0,3.5291561558633773,148.0,4.145358024347458,-22.0,-0.6162018684840816,-0.1565394289937103
157,157,P3,12,6,2,450.0,12.60412912808349,0.0,1411.9646858580018,-84.0,2.3527707705755847,146.0,4.089339672667088,-62.0,-1.736568902091503,0.076498269001604
158,158,P3,12,4,2,450.0,12.60412912808349,1417.2980240120014,1417.2813310560014,-0.0,0.0,93.0,2.6048533531372544,-93.0,-2.6048533531372544,0.027228480001213
159,159,P3,12,2,2,450.0,12.60412912808349,1422.6645979349996,1422.8981885620017,84.0,-2.3527707705755847,56.0,1.56851384705039,-140.0,-3.9212846176259744,0.11062355600734
165,165,P3,12,3,2,450.0,12.60412912808349,1453.998505137999,1454.1150759049997,42.0,-1.1763853852877924,56.0,1.56851384705039,-98.0,-2.7448992323381822,0.2098001859994838
167,167,P3,12,1,2,450.0,12.60412912808349,1464.8449330580042,1465.1988926300037,126.0,-3.5291561558633773,-26.0,-0.7282385718448239,-100.0,-2.800917584018553,-0.0895468839953537
2,2,P4,1,2,2,450.0,12.60412912808349,84.16893653499574,84.40244019500096,84.0,-2.3527707705755847,41.0,1.1483762094476069,-125.0,-3.501146980023192,-1.61924352600181
4,4,P4,1,5,2,450.0,12.60412912808349,0.0,98.18582863299524,-42.0,1.1763853852877924,80.0,2.240734067214843,-38.0,-1.06434868192705,-0.703497865004465
6,6,P4,1,6,2,450.0,12.60412912808349,0.0,109.53510372599705,-84.0,2.3527707705755847,101.0,2.828926759858738,-17.0,-0.476155989283154,-0.4862427580010262
7,7,P4,1,7,2,450.0,12.60412912808349,0.0,115.00228972100012,-126.0,3.5291561558633773,126.0,3.5291561558633773,0.0,0.0,0.0140608919973601
11,11,P4,1,4,2,450.0,12.60412912808349,138.55214360299578,138.53583556800004,-0.0,0.0,53.0,1.4844863195298332,-53.0,-1.4844863195298332,-0.6366084350011079
